switch_name,interface,ifIndex,workload,workload_ipv4,workload_ipv6
API_CISCO_SW_01,GigabitEthernet1/0/1,1,umwl-cisco-iot-01,192.168.234.1,2001::c:1
API_CISCO_SW_01,GigabitEthernet1/0/2,2,umwl-cisco-iot-02,192.168.234.2,2001::c:2
API_CISCO_SW_01,GigabitEthernet1/0/3,3,umwl-cisco-iot-03,192.168.234.3,2001::c:3
API_CISCO_SW_01,GigabitEthernet1/0/4,4,umwl-cisco-iot-04,192.168.234.4,2001::c:4
API_CISCO_SW_02,GigabitEthernet1/0/1,1,umwl-cisco-iot-05,192.168.235.1,2002::c:1
API_CISCO_SW_02,GigabitEthernet1/0/2,2,umwl-cisco-iot-06,192.168.235.2,2002::c:2
API_CISCO_SW_02,GigabitEthernet1/0/3,3,umwl-cisco-iot-07,192.168.235.3,2002::c:3
API_CISCO_SW_02,GigabitEthernet1/0/4,4,umwl-cisco-iot-08,192.168.235.4,2002::c:4
API_ARISTA_SW_01,Ethernet1,1,umwl-arista-iot-01,192.168.236.1,2003::a:1
API_ARISTA_SW_01,Ethernet2,2,umwl-arista-iot-02,192.168.236.2,2003::a:2
API_ARISTA_SW_01,Ethernet3,3,umwl-arista-iot-03,192.168.236.3,2003::a:3
API_ARISTA_SW_01,Ethernet4,4,umwl-arista-iot-04,192.168.236.4,2003::a:4
API_Generic_SW_01,eth0,1,umwl-gen-iot-01,192.168.237.1,2004::1:1
API_Generic_SW_01,eth1,2,umwl-gen-iot-02,192.168.237.2,2004::1:2
API_Generic_SW_01,eth2,3,umwl-gen-iot-03,192.168.237.3,2004::1:3
API_Generic_SW_01,eth3,4,umwl-gen-iot-04,192.168.237.4,2004::1:4
API_Generic_SW_02,eth0,1,umwl-gen-iot-05,192.168.238.1,2004::2:1
API_Generic_SW_02,eth1,2,umwl-gen-iot-06,192.168.238.2,2004::2:2
API_Generic_SW_02,eth2,3,umwl-gen-iot-07,192.168.238.3,2004::2:3
API_Generic_SW_02,eth3,4,umwl-gen-iot-08,192.168.238.4,2004::2:4
API_Generic_SW_03,eth0,1,umwl-gen-iot-09,192.168.239.1,2004::3:1
API_Generic_SW_03,eth1,2,umwl-gen-iot-10,192.168.239.2,2004::3:2
API_Generic_SW_03,eth2,3,umwl-gen-iot-11,192.168.239.3,2004::3:3
API_Generic_SW_03,eth3,4,umwl-gen-iot-12,192.168.239.4,2004::3:4
API_Generic_SW_04,eth0,1,umwl-gen-iot-13,192.168.240.1,2004::4:1
API_Generic_SW_04,eth1,2,umwl-gen-iot-14,192.168.240.2,2004::4:2
API_Generic_SW_04,eth2,3,umwl-gen-iot-15,192.168.240.3,2004::4:3
API_Generic_SW_04,eth3,4,umwl-gen-iot-16,192.168.240.4,2004::4:4
API_IBM_SW_01,eth0,1,umwl-ibm-iot-01,192.168.241.1,2005::a:1
API_IBM_SW_01,eth1,2,umwl-ibm-iot-02,192.168.241.2,2005::a:2
API_IBM_SW_01,eth2,3,umwl-ibm-iot-03,192.168.241.3,2005::a:3
API_IBM_SW_01,eth3,4,umwl-ibm-iot-04,192.168.241.4,2005::a:4
API_NVIDIA_SW_01,swp1,1,umwl-nvidia-iot-01,192.168.242.1,2006::a:1
API_NVIDIA_SW_01,swp2,2,umwl-nvidia-iot-02,192.168.242.2,2006::a:2
API_NVIDIA_SW_01,swp3,3,umwl-nvidia-iot-03,192.168.242.3,2006::a:3
API_NVIDIA_SW_01,swp4,4,umwl-nvidia-iot-04,192.168.242.4,2006::a:4
